Row Labels,OJ,Grand Total,day of week,numerical,weekend,# of Boxes,Rounded # of Boxes,,
12/15/2016,48,48,Thursday,4,0,2,2,,
12/16/2016,50,50,Friday,5,1,2.083333333,2,,
12/17/2016,65,65,Saturday,6,1,2.708333333,3,,
12/19/2016,91,91,Monday,1,0,3.791666667,4,,
12/20/2016,49,49,Tuesday,2,0,2.041666667,2,,
12/21/2016,57,57,Wednesday,3,0,2.375,2,,
12/22/2016,60,60,Thursday,4,0,2.5,3,,
12/23/2016,66,66,Friday,5,1,2.75,3,,
12/24/2016,41,41,Saturday,6,1,1.708333333,2,,
12/26/2016,41,41,Monday,1,0,1.708333333,2,,
12/27/2016,45,45,Tuesday,2,0,1.875,2,,
12/28/2016,60,60,Wednesday,3,0,2.5,3,,
12/29/2016,54,54,Thursday,4,0,2.25,2,,
12/30/2016,70,70,Friday,5,1,2.916666667,3,,
12/31/2016,63,63,Saturday,6,1,2.625,3,,
1/2/2017,39,39,Monday,1,0,1.625,2,,
1/3/2017,38,38,Tuesday,2,0,1.583333333,2,,
1/4/2017,57,57,Wednesday,3,0,2.375,2,,
1/5/2017,47,47,Thursday,4,0,1.958333333,2,,
1/6/2017,65,65,Friday,5,1,2.708333333,3,,
1/9/2017,34,34,Monday,1,0,1.416666667,1,,
1/10/2017,42,42,Tuesday,2,0,1.75,2,,
1/11/2017,49,49,Wednesday,3,0,2.041666667,2,,
1/12/2017,45,45,Thursday,4,0,1.875,2,,
1/13/2017,72,72,Friday,5,1,3,3,,
1/14/2017,67,67,Saturday,6,1,2.791666667,3,,
1/16/2017,56,56,Monday,1,0,2.333333333,2,,
1/17/2017,51,51,Tuesday,2,0,2.125,2,,
1/18/2017,63,63,Wednesday,3,0,2.625,3,,
1/19/2017,49,49,Thursday,4,0,2.041666667,2,,
1/20/2017,84,84,Friday,5,1,3.5,4,,
1/21/2017,69,69,Saturday,6,1,2.875,3,,
1/23/2017,43,43,Monday,1,0,1.791666667,2,,
1/24/2017,43,43,Tuesday,2,0,1.791666667,2,,
1/25/2017,49,49,Wednesday,3,0,2.041666667,2,,
1/26/2017,51,51,Thursday,4,0,2.125,2,,
1/27/2017,68,68,Friday,5,1,2.833333333,3,,
1/28/2017,57,57,Saturday,6,1,2.375,2,,
1/30/2017,44,44,Monday,1,0,1.833333333,2,,
1/31/2017,41,41,Tuesday,2,0,1.708333333,2,,
2/1/2017,58,58,Wednesday,3,0,2.416666667,2,,
2/2/2017,60,60,Thursday,4,0,2.5,3,,
2/3/2017,88,88,Friday,5,1,3.666666667,4,,
2/4/2017,73,73,Saturday,6,1,3.041666667,3,,
2/6/2017,41,41,Monday,1,0,1.708333333,2,,
2/7/2017,43,43,Tuesday,2,0,1.791666667,2,,
2/8/2017,54,54,Wednesday,3,0,2.25,2,,
2/9/2017,56,56,Thursday,4,0,2.333333333,2,,
2/10/2017,76,76,Friday,5,1,3.166666667,3,,
2/11/2017,82,82,Saturday,6,1,3.416666667,3,,
2/13/2017,41,41,Monday,1,0,1.708333333,2,,
2/14/2017,56,56,Tuesday,2,0,2.333333333,2,,
2/15/2017,59,59,Wednesday,3,0,2.458333333,2,,
2/16/2017,46,46,Thursday,4,0,1.916666667,2,,
2/17/2017,92,92,Friday,5,1,3.833333333,4,,
2/18/2017,66,66,Saturday,6,1,2.75,3,,
2/20/2017,60,60,Monday,1,0,2.5,3,,
2/21/2017,71,71,Tuesday,2,0,2.958333333,3,,
2/22/2017,64,64,Wednesday,3,0,2.666666667,3,,
2/23/2017,67,67,Thursday,4,0,2.791666667,3,,
2/24/2017,52,52,Friday,5,1,2.166666667,2,,
2/25/2017,74,74,Saturday,6,1,3.083333333,3,,
2/27/2017,55,55,Monday,1,0,2.291666667,2,,
2/28/2017,57,57,Tuesday,2,0,2.375,2,,
3/1/2017,34,34,Wednesday,3,0,1.416666667,1,,
3/2/2017,44,44,Thursday,4,0,1.833333333,2,,
3/3/2017,82,82,Friday,5,1,3.416666667,3,,
3/4/2017,88,88,Saturday,6,1,3.666666667,4,,
3/6/2017,43,43,Monday,1,0,1.791666667,2,,
3/7/2017,54,54,Tuesday,2,0,2.25,2,,
3/8/2017,61,61,Wednesday,3,0,2.541666667,3,,
3/9/2017,43,43,Thursday,4,0,1.791666667,2,,
3/10/2017,76,76,Friday,5,1,3.166666667,3,,
